relative_prob_transmission,days_post_infection,proportion_transmission_abated,cumulative_transmission,cumulative_transmission_abated
0.485789433,2.42,0.00094881,0.09271492,0.90728508
0.488029351,2.43,0.000953185,0.093668105,0.906331895
0.490255434,2.44,0.000957533,0.094625638,0.905374362
0.492467535,2.45,0.000961853,0.095587491,0.904412509
0.494665509,2.46,0.000966146,0.096553638,0.903446362
0.496849216,2.47,0.000970411,0.097524049,0.902475951
0.499018521,2.48,0.000974648,0.098498697,0.901501303
0.501173293,2.49,0.000978857,0.099477554,0.900522446
0.503313406,2.5,0.000983037,0.10046059,0.89953941
0.505461976,2.51,0.000987233,0.101447823,0.898552177
0.507596461,2.52,0.000991402,0.102439225,0.897560775
0.509716724,2.53,0.000995543,0.103434769,0.896565231
0.511822635,2.54,0.000999656,0.104434425,0.895565575
0.513914065,2.55,0.001003741,0.105438166,0.894561834
0.515990892,2.56,0.001007797,0.106445964,0.893554036
0.518052995,2.57,0.001011825,0.107457789,0.892542211
0.520100261,2.58,0.001015824,0.108473612,0.891526388
0.522132578,2.59,0.001019793,0.109493405,0.890506595
0.524149837,2.6,0.001023733,0.110517138,0.889482862
0.526174729,2.61,0.001027688,0.111544826,0.888455174
0.528185139,2.62,0.001031614,0.11257644,0.88742356
0.530180954,2.63,0.001035512,0.113611953,0.886388047
0.53216206,2.64,0.001039382,0.114651335,0.885348665
0.534128349,2.65,0.001043222,0.115694557,0.884305443
0.536079718,2.66,0.001047034,0.11674159,0.88325841
0.538016065,2.67,0.001050815,0.117792406,0.882207594
0.539937294,2.68,0.001054568,0.118846974,0.881153026
0.541843311,2.69,0.001058291,0.119905264,0.880094736
0.543734028,2.7,0.001061983,0.120967248,0.879032752
0.545631572,2.71,0.00106569,0.122032937,0.877967063
0.547514388,2.72,0.001069367,0.123102304,0.876897696
0.549382378,2.73,0.001073015,0.12417532,0.87582468
0.551235448,2.74,0.001076635,0.125251954,0.874748046
0.553073508,2.75,0.001080225,0.126332179,0.873667821
0.55489647,2.76,0.001083785,0.127415964,0.872584036
0.556704252,2.77,0.001087316,0.12850328,0.87149672
0.558496772,2.78,0.001090817,0.129594097,0.870405903
0.560273954,2.79,0.001094288,0.130688385,0.869311615
0.562035725,2.8,0.001097729,0.131786114,0.868213886
0.56380354,2.81,0.001101182,0.132887296,0.867112704
0.565556508,2.82,0.001104606,0.133991901,0.866008099
0.567294548,2.83,0.001108,0.135099901,0.864900099
0.569017583,2.84,0.001111365,0.136211267,0.863788733
0.570725538,2.85,0.001114701,0.137325968,0.862674032
0.572418342,2.86,0.001118008,0.138443976,0.861556024
0.574095927,2.87,0.001121284,0.13956526,0.86043474
0.575758227,2.88,0.001124531,0.140689791,0.859310209
0.577405181,2.89,0.001127748,0.141817538,0.858182462
0.57903673,2.9,0.001130934,0.142948473,0.857051527
0.580673559,2.91,0.001134131,0.144082604,0.855917396
0.582295534,2.92,0.001137299,0.145219903,0.854780097
0.583902591,2.93,0.001140438,0.146360341,0.853639659
0.585494667,2.94,0.001143547,0.147503888,0.852496112
0.587071702,2.95,0.001146628,0.148650515,0.851349485
0.588633638,2.96,0.001149678,0.149800194,0.850199806
0.590180422,2.97,0.001152699,0.150952893,0.849047107
0.591712003,2.98,0.001155691,0.152108584,0.847891416
0.593228331,2.99,0.001158652,0.153267236,0.846732764
0.594729361,3,0.001161584,0.15442882,0.84557118
0.596234924,3.01,0.001164524,0.155593344,0.844406656
0.597725725,3.02,0.001167436,0.15676078,0.84323922
0.599201713,3.03,0.001170319,0.157931099,0.842068901
0.600662839,3.04,0.001173173,0.159104272,0.840895728
0.602109055,3.05,0.001175997,0.16028027,0.83971973
0.603540317,3.06,0.001178793,0.161459063,0.838540937
0.604956585,3.07,0.001181559,0.162640622,0.837359378
0.606357818,3.08,0.001184296,0.163824917,0.836175083
0.60774398,3.09,0.001187003,0.165011921,0.834988079
0.609115037,3.1,0.001189681,0.166201602,0.833798398
0.610489899,3.11,0.001192366,0.167393968,0.832606032
0.611850175,3.12,0.001195023,0.168588991,0.831411009
0.613195826,3.13,0.001197651,0.169786642,0.830213358
0.614526813,3.14,0.001200251,0.170986893,0.829013107
0.615843102,3.15,0.001202822,0.172189715,0.827810285
0.61714466,3.16,0.001205364,0.173395079,0.826604921
0.618431456,3.17,0.001207877,0.174602956,0.825397044
0.619703463,3.18,0.001210362,0.175813318,0.824186682
0.620960655,3.19,0.001212817,0.177026135,0.822973865
0.622203008,3.2,0.001215244,0.178241379,0.821758621
0.62344846,3.21,0.001217676,0.179459055,0.820540945
0.624679572,3.22,0.001220081,0.180679135,0.819320865
0.625896316,3.23,0.001222457,0.181901592,0.818098408
0.627098663,3.24,0.001224805,0.183126398,0.816873602
0.628286591,3.25,0.001227126,0.184353523,0.815646477
0.629460076,3.26,0.001229418,0.185582941,0.814417059
0.630619098,3.27,0.001231681,0.186814622,0.813185378
0.631763638,3.28,0.001233917,0.188048539,0.811951461
0.632893682,3.29,0.001236124,0.189284663,0.810715337
0.634009213,3.3,0.001238303,0.190522965,0.809477035
0.635127163,3.31,0.001240486,0.191763451,0.808236549
0.636231077,3.32,0.001242642,0.193006094,0.806993906
0.637320938,3.33,0.001244771,0.194250864,0.805749136
0.638396728,3.34,0.001246872,0.195497736,0.804502264
0.639458432,3.35,0.001248946,0.196746682,0.803253318
0.640506037,3.36,0.001250992,0.197997674,0.802002326
0.641539531,3.37,0.00125301,0.199250684,0.800749316
0.642558905,3.38,0.001255001,0.200505685,0.799494315
0.643564151,3.39,0.001256965,0.20176265,0.79823735
0.644555264,3.4,0.0012589,0.20302155,0.79697845
0.645548138,3.41,0.00126084,0.20428239,0.79571761
0.646527332,3.42,0.001262752,0.205545142,0.794454858
0.647492836,3.43,0.001264638,0.20680978,0.79319022
0.648444642,3.44,0.001266497,0.208076277,0.791923723
0.649382742,3.45,0.001268329,0.209344606,0.790655394
0.650307132,3.46,0.001270135,0.210614741,0.789385259
0.651217808,3.47,0.001271913,0.211886654,0.788113346
0.652114767,3.48,0.001273665,0.213160319,0.786839681
0.652998012,3.49,0.00127539,0.214435709,0.785564291
0.653867541,3.5,0.001277089,0.215712798,0.784287202
0.654738204,3.51,0.001278789,0.216991587,0.783008413
0.655595583,3.52,0.001280464,0.21827205,0.78172795
0.656439675,3.53,0.001282112,0.219554162,0.780445838
0.65727048,3.54,0.001283735,0.220837897,0.779162103
0.658087997,3.55,0.001285332,0.222123229,0.777876771
0.65889223,3.56,0.001286902,0.223410131,0.776589869
0.65968318,3.57,0.001288447,0.224698579,0.775301421
0.660460855,3.58,0.001289966,0.225988545,0.774011455
0.66122526,3.59,0.001291459,0.227280004,0.772719996
0.661976402,3.6,0.001292926,0.22857293,0.77142707
0.662728081,3.61,0.001294394,0.229867324,0.770132676
0.663466903,3.62,0.001295837,0.231163161,0.768836839
0.664192875,3.63,0.001297255,0.232460417,0.767539583
0.664906,3.64,0.001298648,0.233759065,0.766240935
0.665606287,3.65,0.001300016,0.235059081,0.764940919
0.666293744,3.66,0.001301358,0.236360439,0.763639561
0.66696838,3.67,0.001302676,0.237663115,0.762336885
0.667630207,3.68,0.001303969,0.238967084,0.761032916
0.668279237,3.69,0.001305236,0.24027232,0.75972768
0.668915483,3.7,0.001306479,0.2415788,0.7584212
0.6695517,3.71,0.001307722,0.242886521,0.757113479
0.670175515,3.72,0.00130894,0.244195461,0.755804539
0.67078694,3.73,0.001310134,0.245505596,0.754494404
0.671385985,3.74,0.001311304,0.2468169,0.7531831
0.671972664,3.75,0.00131245,0.24812935,0.75187065
